S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
27.0,66.0,183.0,0.0,132.0,18.0,54.0,102.0,102.0,36.0,69.0,192.0,63.0,45.0,186.0,30.0,168.0,120.0,77.78571428571429,3160.882653061223,19.0,99.75,82.875,177.0,120.0
35.1,68.4,175.8,0.0,130.2,19.8,54.0,102.0,102.0,35.1,66.0,187.3,58.5,45.0,184.5,33.0,162.9,114.0,77.08571428571429,3027.4826530612236,22.7,98.55,81.2375,173.7,114.0
43.2,70.8,168.6,0.0,128.4,21.6,54.0,102.0,102.0,34.2,63.0,182.6,54.0,45.0,183.0,36.0,157.8,108.0,76.38571428571429,2894.0826530612235,26.4,97.35,79.6,170.4,108.0
51.3,73.2,161.4,0.0,126.6,23.4,54.0,102.0,102.0,33.3,60.0,177.9,49.5,45.0,181.5,39.0,152.7,102.0,75.6857142857143,2760.6826530612234,30.1,96.15,77.9625,167.1,102.0
59.4,75.6,154.2,0.0,124.8,25.2,54.0,102.0,102.0,32.4,57.0,173.2,45.0,45.0,180.0,42.0,147.6,96.0,74.9857142857143,2627.2826530612238,33.8,94.95,76.325,163.8,96.0
67.5,78.0,147.0,0.0,123.0,27.0,54.0,102.0,102.0,31.5,54.0,168.5,40.5,45.0,178.5,45.0,142.5,90.0,74.28571428571429,2493.882653061224,37.5,93.75,74.6875,160.5,90.0
75.6,80.4,139.8,0.0,121.2,28.8,54.0,102.0,102.0,30.6,51.0,163.8,36.0,45.0,177.0,48.0,137.4,84.0,73.58571428571429,2360.482653061224,41.2,92.55,73.05,157.2,84.0
83.69999999999999,82.8,132.6,0.0,119.4,30.6,54.0,102.0,102.0,29.7,48.0,159.1,31.5,45.0,175.5,51.0,132.3,78.0,72.88571428571429,2227.082653061224,44.900000000000006,91.35,71.4125,153.9,78.0
91.8,85.2,125.4,0.0,117.6,32.4,54.0,102.0,102.0,28.8,45.0,154.4,27.0,45.0,174.0,54.0,127.2,72.0,72.1857142857143,2093.6826530612243,48.6,90.15,69.775,150.6,72.0
99.89999999999999,87.6,118.2,0.0,115.8,34.2,54.0,102.0,102.0,27.9,42.0,149.7,22.5,45.0,172.5,57.0,122.1,66.0,71.4857142857143,1960.2826530612244,52.300000000000004,88.95,68.1375,147.3,66.0
108.0,90.0,111.0,0.0,114.0,36.0,54.0,102.0,102.0,27.0,39.0,145.0,18.0,45.0,171.0,60.0,117.0,60.0,70.78571428571429,1826.8826530612246,56.0,87.75,66.5,144.0,60.0
110.1,88.8,106.5,0.0,115.2,39.0,53.5,101.4,102.4,28.5,41.4,140.4,21.9,48.7,163.2,61.5,112.2,60.9,71.27142857142857,1755.3887755102041,57.2,87.375,67.275,137.7,60.9
112.2,87.6,102.0,0.0,116.4,42.0,53.0,100.8,102.8,30.0,43.8,135.8,25.8,52.4,155.4,63.0,107.4,61.8,71.75714285714287,1683.8948979591837,58.4,87.0,68.05,131.4,61.8
114.3,86.4,97.5,0.0,117.6,45.0,52.5,100.2,103.2,31.5,46.2,131.2,29.7,56.1,147.6,64.5,102.6,62.7,72.24285714285715,1612.4010204081633,59.6,86.625,68.825,125.1,62.7
116.4,85.2,93.0,0.0,118.8,48.0,52.0,99.6,103.6,33.0,48.6,126.6,33.6,59.8,139.8,66.0,97.8,63.6,72.72857142857143,1540.9071428571428,60.8,86.25,69.6,118.8,63.6
118.5,84.0,88.5,0.0,120.0,51.0,51.5,99.0,104.0,34.5,51.0,122.0,37.5,63.5,132.0,67.5,93.0,64.5,73.21428571428572,1469.4132653061224,62.0,85.875,70.375,112.5,64.5
120.6,82.8,84.0,0.0,121.2,54.0,51.0,98.4,104.4,36.0,53.4,117.4,41.4,67.2,124.2,69.0,88.2,65.4,73.7,1397.919387755102,63.2,85.5,71.15,106.2,65.4
122.7,81.6,79.5,0.0,122.4,57.0,50.5,97.8,104.8,37.5,55.8,112.80000000000001,45.3,70.9,116.4,70.5,83.4,66.3,74.18571428571428,1326.4255102040815,64.4,85.125,71.925,99.9,66.3
124.8,80.4,75.0,0.0,123.6,60.0,50.0,97.2,105.2,39.0,58.2,108.2,49.2,74.6,108.6,72.0,78.6,67.2,74.67142857142856,1254.9316326530611,65.6,84.75,72.7,93.6,67.2
126.9,79.2,70.5,0.0,124.8,63.0,49.5,96.6,105.6,40.5,60.599999999999994,103.6,53.1,78.30000000000001,100.8,73.5,73.80000000000001,68.1,75.15714285714286,1183.4377551020407,66.8,84.375,73.475,87.30000000000001,68.1
129.0,78.0,66.0,0.0,126.0,66.0,49.0,96.0,106.0,42.0,63.0,99.0,57.0,82.0,93.0,75.0,69.0,69.0,75.64285714285714,1111.9438775510203,68.0,84.0,74.25,81.0,69.0
122.1,75.9,70.2,0.0,120.6,74.4,51.3,95.4,102.0,42.0,60.6,97.0,58.8,86.7,94.5,76.2,69.0,72.0,75.5,1133.0377551020406,66.1,85.275,74.225,81.75,72.0
115.2,73.8,74.4,0.0,115.2,82.8,53.6,94.8,98.0,42.0,58.2,95.0,60.6,91.4,96.0,77.4,69.0,75.0,75.35714285714285,1154.1316326530612,64.2,86.55,74.2,82.5,75.0
108.3,71.7,78.6,0.0,109.8,91.2,55.9,94.2,94.0,42.0,55.8,93.0,62.4,96.1,97.5,78.6,69.0,78.0,75.21428571428571,1175.2255102040815,62.3,87.825,74.175,83.25,78.0
101.4,69.6,82.8,0.0,104.4,99.6,58.2,93.6,90.0,42.0,53.4,91.0,64.2,100.8,99.0,79.8,69.0,81.0,75.07142857142857,1196.319387755102,60.4,89.1,74.15,84.0,81.0
94.5,67.5,87.0,0.0,99.0,108.0,60.5,93.0,86.0,42.0,51.0,89.0,66.0,105.5,100.5,81.0,69.0,84.0,74.92857142857142,1217.4132653061224,58.5,90.375,74.125,84.75,84.0
87.6,65.4,91.2,0.0,93.6,116.4,62.8,92.4,82.0,42.0,48.6,87.0,67.8,110.2,102.0,82.2,69.0,87.0,74.78571428571428,1238.5071428571428,56.6,91.65,74.1,85.5,87.0
80.69999999999999,63.3,95.4,0.0,88.19999999999999,124.80000000000001,65.1,91.8,78.0,42.0,46.2,85.0,69.6,114.9,103.5,83.4,69.0,90.0,74.64285714285714,1259.6010204081633,54.7,92.925,74.075,86.25,90.0
73.8,61.2,99.6,0.0,82.8,133.2,67.4,91.2,74.0,42.0,43.8,83.0,71.4,119.6,105.0,84.6,69.0,93.0,74.5,1280.6948979591837,52.8,94.2,74.05,87.0,93.0
