S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
51.0,186.0,162.0,66.0,132.0,192.0,144.0,87.0,333.0,67.0,54.0,183.0,102.0,54.0,93.0,114.0,93.0,60.0,120.72222222222223,4836.533950617283,77.0,168.0,128.0,93.0,60.0
47.7,186.9,157.2,66.9,135.0,179.4,138.6,100.0,322.9,67.5,54.0,177.4,102.0,55.8,98.7,111.6,88.2,67.5,119.85000000000001,4694.313888888888,75.4,164.625,127.275,93.45,67.5
44.4,187.8,152.4,67.8,138.0,166.8,133.2,113.0,312.8,68.0,54.0,171.8,102.0,57.6,104.4,109.2,83.4,75.0,118.97777777777779,4552.093827160493,73.8,161.25,126.55,93.9,75.0
41.1,188.7,147.6,68.7,141.0,154.2,127.8,126.0,302.7,68.5,54.0,166.2,102.0,59.4,110.1,106.8,78.6,82.5,118.10555555555555,4409.8737654320985,72.2,157.875,125.825,94.35,82.5
37.8,189.6,142.8,69.6,144.0,141.6,122.4,139.0,292.6,69.0,54.0,160.6,102.0,61.2,115.8,104.4,73.8,90.0,117.23333333333333,4267.653703703703,70.6,154.5,125.1,94.8,90.0
34.5,190.5,138.0,70.5,147.0,129.0,117.0,152.0,282.5,69.5,54.0,155.0,102.0,63.0,121.5,102.0,69.0,97.5,116.36111111111111,4125.433641975308,69.0,151.125,124.375,95.25,97.5
31.200000000000003,191.4,133.2,71.4,150.0,116.4,111.6,165.0,272.4,70.0,54.0,149.4,102.0,64.8,127.2,99.6,64.2,105.0,115.4888888888889,3983.213580246913,67.4,147.75,123.65,95.7,105.0
27.900000000000002,192.3,128.4,72.3,153.0,103.8,106.19999999999999,178.0,262.3,70.5,54.0,143.8,102.0,66.6,132.9,97.2,59.4,112.5,114.61666666666667,3840.9935185185177,65.8,144.375,122.925,96.15,112.5
24.6,193.2,123.6,73.2,156.0,91.2,100.8,191.0,252.2,71.0,54.0,138.2,102.0,68.4,138.6,94.8,54.6,120.0,113.74444444444444,3698.773456790123,64.2,141.0,122.2,96.6,120.0
21.3,194.1,118.80000000000001,74.1,159.0,78.60000000000001,95.4,204.0,242.10000000000002,71.5,54.0,132.6,102.0,70.2,144.3,92.4,49.800000000000004,127.5,112.87222222222222,3556.553395061728,62.6,137.625,121.475,97.05,127.5
18.0,195.0,114.0,75.0,162.0,66.0,90.0,217.0,232.0,72.0,54.0,127.0,102.0,72.0,150.0,90.0,45.0,135.0,112.0,3414.333333333333,61.0,134.25,120.75,97.5,135.0
26.4,195.9,117.0,71.4,156.6,69.6,97.2,222.6,225.6,72.0,54.7,121.5,98.4,80.4,155.7,87.9,48.6,137.1,113.25555555555556,3447.2135802469134,61.9,134.775,121.55,102.15,137.1
34.8,196.8,120.0,67.8,151.2,73.2,104.4,228.2,219.2,72.0,55.4,116.0,94.8,88.8,161.4,85.8,52.2,139.2,114.5111111111111,3480.0938271604937,62.8,135.3,122.35,106.8,139.2
43.2,197.7,123.0,64.2,145.8,76.8,111.6,233.8,212.8,72.0,56.1,110.5,91.2,97.2,167.1,83.7,55.8,141.3,115.76666666666667,3512.9740740740735,63.7,135.825,123.15,111.45,141.3
51.6,198.6,126.0,60.6,140.4,80.4,118.8,239.4,206.4,72.0,56.8,105.0,87.6,105.6,172.8,81.6,59.4,143.4,117.02222222222223,3545.854320987654,64.6,136.35,123.95,116.1,143.4
60.0,199.5,129.0,57.0,135.0,84.0,126.0,245.0,200.0,72.0,57.5,99.5,84.0,114.0,178.5,79.5,63.0,145.5,118.27777777777777,3578.734567901234,65.5,136.875,124.75,120.75,145.5
68.4,200.4,132.0,53.4,129.6,87.6,133.2,250.6,193.6,72.0,58.2,94.0,80.4,122.4,184.2,77.4,66.6,147.6,119.53333333333333,3611.6148148148145,66.4,137.4,125.55,125.4,147.6
